Source Language,Source ISO Code,Target Language,Target ISO Code,Text Type,Original Text,HF Translated Text,HF Translation Time (s),Gemini Translated Text,Gemini Translation Time (s)
English,en,Spanish,es,word,Hello,Hola.,1.3585360050201416,,1.2379870414733887
English,en,Spanish,es,sentence,This is a test sentence.,Esta es una frase de prueba.,0.2865791320800781,,0.8984739780426025
English,en,Spanish,es,paragraph,This is a test paragraph with multiple sentences. It should help us understand how translation times vary with text length.,Este es un párrafo de prueba con múltiples oraciones. Debe ayudarnos a entender cómo los tiempos de traducción varían con la longitud del texto.,0.803361177444458,,1.082571029663086
English,en,Chinese,zh,word,Hello,你好 你好 你好 你好 你好 你好 你好 你好 你好,13.740643978118896,,1.316380262374878
English,en,Chinese,zh,sentence,This is a test sentence.,这是一个试验判决。,0.22876715660095215,,1.3084239959716797
English,en,Chinese,zh,paragraph,This is a test paragraph with multiple sentences. It should help us understand how translation times vary with text length.,"这是一个带有多个句子的测试段落,应有助于我们理解翻译时间随文本长度的不同而变化。",0.6843557357788086,,2.2611677646636963
English,en,Arabic,ar,word,Hello,مرحبا مرحبا,1.1046462059020996,,2.0283420085906982
English,en,Arabic,ar,sentence,This is a test sentence.,هذه عقوبة محكّرة.,0.2668418884277344,,1.1488580703735352
English,en,Arabic,ar,paragraph,This is a test paragraph with multiple sentences. It should help us understand how translation times vary with text length.,هذه فقرة اختبار ذات جمل متعددة، وينبغي أن تساعدنا على فهم كيف تختلف الترجمة عبر الزمن مع طول النص.,0.9934122562408447,,3.7522997856140137
English,en,Russian,ru,word,Hello,Привет.,1.2646098136901855,,0.7441580295562744
English,en,Russian,ru,sentence,This is a test sentence.,Это испытательное предложение.,0.21195077896118164,,1.430616855621338
English,en,Russian,ru,paragraph,This is a test paragraph with multiple sentences. It should help us understand how translation times vary with text length.,"Это пробный пункт с несколькими предложениями, который должен помочь нам понять, как время перевода зависит от длины текста.",0.7129669189453125,,1.8011870384216309
English,en,German,de,word,Hello,Guten Tag.,1.4940011501312256,,1.2444560527801514
English,en,German,de,sentence,This is a test sentence.,Das ist ein Testsatz.,0.2397630214691162,,1.6936511993408203
English,en,German,de,paragraph,This is a test paragraph with multiple sentences. It should help us understand how translation times vary with text length.,"Dies ist ein Testabschnitt mit mehreren Sätzen. Er sollte uns helfen zu verstehen, wie die Übersetzungszeiten mit der Textlänge variieren.",1.4659051895141602,,1.6602411270141602
English,en,French,fr,word,Hello,Bonjour.,1.139242172241211,,1.5942959785461426
English,en,French,fr,sentence,This is a test sentence.,C'est une phrase d'essai.,0.29642319679260254,,2.8664419651031494
